sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 2911372034, 87.39422607421875, -13.467020034790039, -105.28459167480469, 0, 0, 0, 0, 0, 0, 0.04052734375, -0.06640625, -1.236328125, 0, 
1, 2911380367, 87.38954162597656, -13.466083526611328, -105.27852630615234, 2.2092702388763428, 9.278196334838867, 0.9056546092033386, -3.4584083557128906, -1.8145380020141602, -0.3686656951904297, 0.04345703125, -0.06640625, -1.2392578125, 0, 
2, 2911388700, 87.39329528808594, -13.463610649108887, -105.28092956542969, 1.4686856269836426, 9.28883171081543, 1.253479242324829, -2.7893006801605225, -3.198667526245117, -0.6278433203697205, 0.044921875, -0.0654296875, -1.23681640625, 0, 
3, 2911397033, 87.39820098876953, -13.466197967529297, -105.2941665649414, 2.3492839336395264, 9.838141441345215, -0.24582365155220032, -2.7926559448242188, -3.872654914855957, -0.038869600743055344, 0.04248046875, -0.0673828125, -1.22900390625, 0, 
4, 2911405366, 87.3932113647461, -13.467984199523926, -105.28915405273438, 3.077214002609253, 9.447278022766113, -0.12636969983577728, -3.6315224170684814, -2.357956886291504, -0.0775471106171608, 0.0419921875, -0.064453125, -1.228515625, 0, 
5, 2911413699, 87.39006042480469, -13.466085433959961, -105.28236389160156, 1.882203221321106, 9.11348819732666, 1.287806749343872, -3.3634557723999023, -2.1304380893707275, -0.5101585984230042, 0.04248046875, -0.06884765625, -1.22900390625, 0, 
6, 2911422032, 87.39627838134766, -13.46502685546875, -105.28913116455078, 1.7567881345748901, 9.420186996459961, 0.7765190601348877, -2.604071617126465, -3.7199296951293945, -0.47012367844581604, 0.041015625, -0.0673828125, -1.2265625, 0, 
7, 2911430365, 87.39707946777344, -13.467669486999512, -105.29369354248047, 2.7309131622314453, 9.927027702331543, -0.4257321357727051, -3.2051219940185547, -3.477452516555786, -0.026293011382222176, 0.04443359375, -0.06689453125, -1.2275390625, 0, 
8, 2911438698, 87.39091491699219, -13.46889591217041, -105.28791046142578, 2.792165517807007, 9.358379364013672, 0.26106324791908264, -3.6853890419006348, -2.060626983642578, -0.11837619543075562, 0.0439453125, -0.0673828125, -1.22802734375, 0, 
9, 2911447031, 87.39008331298828, -13.466068267822266, -105.28486633300781, 1.4564430713653564, 9.113534927368164, 1.407778263092041, -3.1607837677001953, -2.502574920654297, -0.6264345049858093, 0.04345703125, -0.06689453125, -1.228515625, 0, 
10, 2911455364, 87.39737701416016, -13.467537879943848, -105.29411315917969, 1.9934686422348022, 9.618780136108398, 0.33704325556755066, -2.556492805480957, -4.019219398498535, -0.1922476589679718, 0.04052734375, -0.06591796875, -1.2275390625, 0, 
11, 2911463697, 87.39630126953125, -13.46904182434082, -105.2945556640625, 3.073094129562378, 9.737968444824219, -0.4519018530845642, -3.3161213397979736, -2.992178201675415, -0.1421077698469162, 0.041015625, -0.06591796875, -1.2265625, 0, 
12, 2911472030, 87.39092254638672, -13.469074249267578, -105.282470703125, 2.3852667808532715, 9.174757957458496, 0.7726128101348877, -3.571136474609375, -1.949345588684082, -0.25652652978897095, 0.04296875, -0.0673828125, -1.228515625, 0, 
13, 2911480363, 87.39297485351562, -13.466713905334473, -105.28355407714844, 1.5071511268615723, 9.225893020629883, 1.3653422594070435, -2.958367347717285, -3.0466341972351074, -0.6059815883636475, 0.04150390625, -0.06494140625, -1.22900390625, 0, 
14, 2911488696, 87.39881896972656, -13.468411445617676, -105.2925033569336, 2.3067383766174316, 9.942416191101074, -0.09024972468614578, -2.6969611644744873, -3.9440927505493164, -0.1494462490081787, 0.04248046875, -0.0673828125, -1.22802734375, 0, 
15, 2911497029, 87.39443969726562, -13.46988296508789, -105.28825378417969, 2.9819746017456055, 9.596657752990723, -0.25791990756988525, -3.5973403453826904, -2.552074432373047, -0.11193420737981796, 0.0419921875, -0.0654296875, -1.2275390625, 0, 
16, 2911505362, 87.39006805419922, -13.469110488891602, -105.28031158447266, 1.8643567562103271, 9.099409103393555, 1.2329527139663696, -3.4780795574188232, -2.0025718212127686, -0.368537575006485, 0.04248046875, -0.06787109375, -1.2265625, 0, 
17, 2911513695, 87.39482116699219, -13.468161582946777, -105.28640747070312, 1.6973942518234253, 9.26047420501709, 0.9685707688331604, -2.7741498947143555, -3.6368374824523926, -0.4653850793838501, 0.04345703125, -0.06689453125, -1.22705078125, 0, 
18, 2911522028, 87.3976821899414, -13.470071792602539, -105.2951889038086, 2.7078397274017334, 9.867358207702637, -0.49209392070770264, -2.9717636108398438, -3.5972630977630615, -0.10683698207139969, 0.04150390625, -0.06787109375, -1.22705078125, 0, 
19, 2911530361, 87.3926773071289, -13.469376564025879, -105.28752899169922, 2.9224555492401123, 9.41323471069336, 0.15212784707546234, -3.561249256134033, -2.0390467643737793, -0.36203157901763916, 0.04150390625, -0.06640625, -1.228515625, 0, 
20, 2911538694, 87.39131927490234, -13.465341567993164, -105.28399658203125, 1.538063883781433, 9.164855003356934, 1.4543906450271606, -3.2283668518066406, -2.5311214923858643, -0.7736011147499084, 0.041015625, -0.0654296875, -1.2265625, 0, 
21, 2911547027, 87.3980484008789, -13.465816497802734, -105.29261016845703, 1.8290667533874512, 9.613897323608398, 0.4493798017501831, -2.58803653717041, -3.9070162773132324, -0.29387208819389343, 0.04150390625, -0.06640625, -1.228515625, 0, 
22, 2911555360, 87.39724731445312, -13.467936515808105, -105.29556274414062, 2.9190280437469482, 9.814903259277344, -0.5108487010002136, -3.3534412384033203, -3.2895848751068115, -0.07917360216379166, 0.0400390625, -0.06640625, -1.22802734375, 0, 
23, 2911563693, 87.39281463623047, -13.46875, -105.2874526977539, 2.540850877761841, 9.1317720413208, 0.6068779230117798, -3.4803340435028076, -1.9895344972610474, -0.17727608978748322, 0.0400390625, -0.0654296875, -1.22802734375, 0, 
24, 2911572026, 87.39399719238281, -13.46564769744873, -105.28714752197266, 1.4779540300369263, 9.13294506072998, 1.404009222984314, -3.0425360202789307, -3.0185351371765137, -0.6829780340194702, 0.04248046875, -0.06591796875, -1.2294921875, 0, 
25, 2911580359, 87.40113830566406, -13.46631145477295, -105.29505920410156, 2.2903120517730713, 9.8611478805542, -0.051341261714696884, -2.537064552307129, -3.858374834060669, -0.2825506329536438, 0.041015625, -0.06591796875, -1.22900390625, 0, 
26, 2911588692, 87.3971176147461, -13.467557907104492, -105.29486846923828, 3.0715391635894775, 9.701566696166992, -0.3190780282020569, -3.5759525299072266, -2.653635025024414, -0.14387518167495728, 0.04052734375, -0.064453125, -1.2294921875, 0, 
27, 2911597025, 87.39244079589844, -13.466313362121582, -105.2944107055664, 1.928475022315979, 9.150115966796875, 1.2119066715240479, -3.4990832805633545, -1.9872545003890991, -0.4122866690158844, 0.04248046875, -0.06787109375, -1.22998046875, 0, 
28, 2911605358, 87.3968734741211, -13.464919090270996, -105.29945373535156, 1.517777442932129, 9.278280258178711, 1.0554276704788208, -2.780604600906372, -3.513735055923462, -0.5126433372497559, 0.044921875, -0.0634765625, -1.228515625, 0, 
29, 2911613691, 87.40148162841797, -13.467652320861816, -105.30680847167969, 2.587806463241577, 9.890945434570312, -0.4609508514404297, -2.8283751010894775, -3.8033299446105957, -0.02912338264286518, 0.041015625, -0.0654296875, -1.2275390625, 0, 
30, 2911622024, 87.3958740234375, -13.469074249267578, -105.30760192871094, 3.0214874744415283, 9.404032707214355, 0.03973761573433876, -3.63645339012146, -2.1302592754364014, -0.09958814829587936, 0.04150390625, -0.064453125, -1.22802734375, 0, 
31, 2911630357, 87.39238739013672, -13.466498374938965, -105.30194091796875, 1.644960641860962, 9.11938190460205, 1.3931078910827637, -3.433382987976074, -2.2608916759490967, -0.5979130864143372, 0.04248046875, -0.0654296875, -1.22900390625, 0, 
32, 2911638690, 87.39888000488281, -13.465777397155762, -105.31514739990234, 1.8198679685592651, 9.584925651550293, 0.5566545128822327, -2.610398292541504, -3.8770220279693604, -0.4373118579387665, 0.04443359375, -0.06787109375, -1.22705078125, 0, 
