sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 1930517416, 81.27620697021484, 44.777313232421875, 125.71905517578125, 0, 0, 0, 0, 0, 0, -0.0966796875, -0.0224609375, -0.18359375, 0, 
1, 1930525749, 81.28089904785156, 44.77815628051758, 125.72456359863281, -6.908722877502441, 6.5855302810668945, 1.0217337608337402, 1.6971991062164307, -0.6615260243415833, -0.04944827780127525, -0.09912109375, -0.01953125, -0.18505859375, 0, 
2, 1930534082, 81.28005981445312, 44.77495193481445, 125.72117614746094, -6.949628829956055, 6.9504075050354, 1.1238713264465332, 1.774912714958191, -1.4915040731430054, 0.29702261090278625, -0.09814453125, -0.0224609375, -0.1884765625, 0, 
3, 1930542415, 81.279296875, 44.77315902709961, 125.72010040283203, -6.959966659545898, 7.00776481628418, 1.1626838445663452, 1.5990965366363525, -1.2680197954177856, 0.17742978036403656, -0.0986328125, -0.02392578125, -0.18359375, 0, 
4, 1930550748, 81.27884674072266, 44.77401351928711, 125.71961975097656, -6.758833408355713, 6.954517841339111, 0.8972745537757874, 1.5777602195739746, -1.1725300550460815, -0.14739714562892914, -0.09765625, -0.02294921875, -0.1845703125, 0, 
5, 1930559081, 81.27642059326172, 44.77720260620117, 125.71512603759766, -6.609550476074219, 6.77104377746582, 0.893229603767395, 1.4526854753494263, -1.2315963506698608, -0.44101306796073914, -0.09912109375, -0.02392578125, -0.1826171875, 0, 
6, 1930567414, 81.2790756225586, 44.77870559692383, 125.71919250488281, -6.844323635101318, 6.567680358886719, 1.1406458616256714, 1.570997953414917, -0.7717697024345398, -0.14688482880592346, -0.09814453125, -0.025390625, -0.18505859375, 0, 
7, 1930575747, 81.27889251708984, 44.776615142822266, 125.7160415649414, -6.934115886688232, 6.7892279624938965, 1.1209113597869873, 1.841560959815979, -1.4481648206710815, 0.18729127943515778, -0.099609375, -0.02392578125, -0.193359375, 0, 
8, 1930584080, 81.28112030029297, 44.7734489440918, 125.71829223632812, -6.9289326667785645, 7.013740062713623, 0.9838094115257263, 1.6698174476623535, -1.0140291452407837, 0.36712881922721863, -0.09912109375, -0.0224609375, -0.185546875, 0, 
9, 1930592413, 81.27945709228516, 44.773075103759766, 125.71746063232422, -6.868358135223389, 7.0332560539245605, 0.9850494861602783, 1.4688994884490967, -1.2205053567886353, 0.013088872656226158, -0.0986328125, -0.02490234375, -0.19189453125, 0, 
10, 1930600746, 81.27750396728516, 44.77524948120117, 125.71514892578125, -6.632230758666992, 6.847090244293213, 1.036598801612854, 1.5512748956680298, -1.3045202493667603, -0.3273884057998657, -0.09765625, -0.02294921875, -0.185546875, 0, 
11, 1930609079, 81.27716827392578, 44.77767562866211, 125.71585083007812, -6.7122979164123535, 6.619839668273926, 0.9348562359809875, 1.4912351369857788, -1.0455602407455444, -0.31691211462020874, -0.0966796875, -0.02197265625, -0.18896484375, 0, 
12, 1930617412, 81.27903747558594, 44.77751922607422, 125.7168197631836, -6.897885799407959, 6.62019681930542, 1.1218116283416748, 1.7403079271316528, -1.0636183023452759, 0.008222169242799282, -0.0986328125, -0.02392578125, -0.189453125, 0, 
13, 1930625745, 81.28009033203125, 44.77404022216797, 125.71780395507812, -6.984245300292969, 6.897446632385254, 1.0041064023971558, 1.641283392906189, -1.1226848363876343, 0.4071638584136963, -0.0986328125, -0.021484375, -0.18408203125, 0, 
14, 1930634078, 81.28008270263672, 44.771697998046875, 125.71680450439453, -6.8940300941467285, 7.035129070281982, 1.0422250032424927, 1.6729168891906738, -1.2742953300476074, 0.22399649024009705, -0.0986328125, -0.02099609375, -0.18603515625, 0, 
15, 1930642411, 81.27997589111328, 44.772518157958984, 125.7169418334961, -6.643240928649902, 6.9420599937438965, 1.0467190742492676, 1.5745583772659302, -1.11594820022583, -0.11507195979356766, -0.09716796875, -0.02392578125, -0.19091796875, 0, 
16, 1930650744, 81.27682495117188, 44.77493667602539, 125.71244812011719, -6.710171699523926, 6.714750289916992, 0.9561654329299927, 1.5929747819900513, -1.4831793308258057, -0.3835091292858124, -0.09716796875, -0.0224609375, -0.18896484375, 0, 
17, 1930659077, 81.28075408935547, 44.776248931884766, 125.71720123291016, -6.909783363342285, 6.618860244750977, 0.9540237188339233, 1.6580862998962402, -0.7229490280151367, -0.13120892643928528, -0.09765625, -0.02197265625, -0.19091796875, 0, 
18, 1930667410, 81.2810287475586, 44.77371597290039, 125.7167739868164, -6.889734745025635, 6.906764030456543, 1.236430287361145, 1.667256236076355, -1.2255003452301025, 0.2739954888820648, -0.09912109375, -0.02294921875, -0.18505859375, 0, 
19, 1930675743, 81.27993774414062, 44.77096939086914, 125.7140884399414, -6.991364002227783, 6.999284267425537, 1.0171960592269897, 1.6940488815307617, -1.419067144393921, 0.2699996531009674, -0.09765625, -0.0224609375, -0.19091796875, 0, 
20, 1930684076, 81.28082275390625, 44.771732330322266, 125.71509552001953, -6.723445892333984, 6.967368125915527, 0.8825504779815674, 1.6127233505249023, -1.0496840476989746, -0.11727477610111237, -0.0966796875, -0.0244140625, -0.18701171875, 0, 
21, 1930692409, 81.28093719482422, 44.77405548095703, 125.71601104736328, -6.617021560668945, 6.750576496124268, 1.001518726348877, 1.5353684425354004, -1.0228660106658936, -0.284330815076828, -0.09912109375, -0.02197265625, -0.18505859375, 0, 
22, 1930700742, 81.2821044921875, 44.77531433105469, 125.69542694091797, -6.792919158935547, 6.538090229034424, 1.0329641103744507, 1.5603934526443481, -0.9628005623817444, -0.16148492693901062, -0.09814453125, -0.02392578125, -0.19189453125, 0, 
23, 1930709075, 81.28323364257812, 44.774391174316406, 125.6959457397461, -6.898804664611816, 6.799431324005127, 1.0756701231002808, 1.7667673826217651, -1.2039841413497925, 0.065085768699646, -0.09912109375, -0.02294921875, -0.18359375, 0, 
24, 1930717408, 81.28755187988281, 44.771751403808594, 125.70108032226562, -7.023072719573975, 6.998740196228027, 1.062558650970459, 1.6828808784484863, -0.759167492389679, 0.35688313841819763, -0.10009765625, -0.02197265625, -0.18505859375, 0, 
25, 1930725741, 81.28494262695312, 44.770225524902344, 125.69926452636719, -6.916934967041016, 7.020784854888916, 1.086966633796692, 1.437394142150879, -1.3222965002059937, 0.13847054541110992, -0.09765625, -0.0205078125, -0.18505859375, 0, 
26, 1930734074, 81.28228759765625, 44.77210235595703, 125.69725799560547, -6.571420669555664, 6.860357284545898, 0.9461489319801331, 1.4431315660476685, -1.2829785346984863, -0.287865549325943, -0.09814453125, -0.0244140625, -0.18701171875, 0, 
27, 1930742407, 81.28129577636719, 44.77425003051758, 125.69763946533203, -6.714958190917969, 6.607420444488525, 0.8751449584960938, 1.4465638399124146, -1.0721734762191772, -0.27085772156715393, -0.09814453125, -0.0234375, -0.1953125, 0, 
28, 1930750740, 81.28312683105469, 44.77342224121094, 125.63033294677734, -6.92308235168457, 6.589544773101807, 1.1135302782058716, 1.6563700437545776, -1.0042444467544556, 0.0859101414680481, -0.09619140625, -0.0224609375, -0.18994140625, 0, 
29, 1930759073, 81.28247833251953, 44.76919174194336, 125.62749481201172, -6.891282081604004, 6.990482330322266, 1.0897574424743652, 1.7538834810256958, -1.465479850769043, 0.42555490136146545, -0.0986328125, -0.0224609375, -0.19091796875, 0, 
30, 1930767406, 81.2860107421875, 44.76759719848633, 125.6319580078125, -6.87192964553833, 7.048919677734375, 1.0241669416427612, 1.6436142921447754, -0.7939003705978394, 0.22758246958255768, -0.09814453125, -0.02294921875, -0.18603515625, 0, 
31, 1930775739, 81.28251647949219, 44.76922607421875, 125.62886047363281, -6.781191825866699, 6.974790096282959, 1.0161510705947876, 1.4424912929534912, -1.3749079704284668, -0.2548232078552246, -0.09912109375, -0.0234375, -0.18701171875, 0, 
32, 1930784072, 81.28254699707031, 44.77216720581055, 125.62037658691406, -6.664681911468506, 6.711436748504639, 1.0002384185791016, 1.5419257879257202, -1.0416157245635986, -0.37879613041877747, -0.09765625, -0.02099609375, -0.18896484375, 0, 
33, 1930792405, 81.28276824951172, 44.77322769165039, 125.6202392578125, -6.814054012298584, 6.579125881195068, 0.9438700675964355, 1.6351872682571411, -1.1335195302963257, -0.14867782592773438, -0.09814453125, -0.0224609375, -0.18896484375, 0, 
34, 1930800738, 81.28573608398438, 44.770652770996094, 125.6428451538086, -6.882720947265625, 6.8201398849487305, 1.1373177766799927, 1.7907166481018066, -1.0438696146011353, 0.2889541685581207, -0.09814453125, -0.02099609375, -0.1943359375, 0, 
35, 1930809071, 81.2838134765625, 44.767677307128906, 125.63910675048828, -7.0240797996521, 6.99090051651001, 1.0785720348358154, 1.6778603792190552, -1.5186039209365845, 0.2672589421272278, -0.10009765625, -0.02392578125, -0.18896484375, 0, 
36, 1930817404, 81.28575134277344, 44.76771545410156, 125.64289093017578, -6.756368160247803, 6.994856357574463, 0.884276270866394, 1.5099334716796875, -0.8215893507003784, 0.021951397880911827, -0.09716796875, -0.0224609375, -0.185546875, 0, 
37, 1930825737, 81.28169250488281, 44.769554138183594, 125.63736724853516, -6.609628200531006, 6.823308944702148, 1.0434916019439697, 1.5772221088409424, -1.5732645988464355, -0.3069225549697876, -0.09765625, -0.021484375, -0.1943359375, 0, 
38, 1930834070, 81.28623962402344, 44.77141189575195, 125.64395141601562, -6.8220367431640625, 6.5926103591918945, 0.9520968794822693, 1.5789638757705688, -0.5625782608985901, -0.1775962859392166, -0.099609375, -0.02197265625, -0.189453125, 0, 
39, 1930842403, 81.28392791748047, 44.769569396972656, 125.63957977294922, -6.916324615478516, 6.776548385620117, 1.0666424036026, 1.6905393600463867, -1.5430397987365723, 0.14108319580554962, -0.09716796875, -0.02197265625, -0.1953125, 0, 
