DeviceID;Timestamp;Temperature;GyroX;GyroY;GyroZ;AccelX;AccelY;AccelZ;Dist1;Dist2;Dist3;Err1;Err2;Err3
4.0;1753877968.145458;17.902821;0.67;-1.15;0.14;0.931545;-0.362873;0.009898;88.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.150064;17.907216;0.73;-1.15;0.08;0.929716;-0.360622;0.010783;87.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.15467;17.861648;0.67;-1.13;0.09;0.929784;-0.360921;0.01092;88.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.159276;17.864105;0.74;-1.15;0.06;0.930714;-0.362283;0.011933;91.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.163882;17.919966;0.64;-1.16;0.1;0.928858;-0.360353;0.011185;87.4;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.168488;17.919681;0.61;-1.14;0.17;0.927961;-0.363727;0.009244;89.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.173094;17.905136;0.69;-1.15;-0.0;0.930219;-0.358869;0.010304;87.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.1777;17.942616;0.61;-1.21;0.09;0.933119;-0.362021;0.010783;87.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.182306;17.899253;0.68;-1.18;0.07;0.927657;-0.357721;0.010591;87.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.186912;17.859192;0.74;-1.14;-0.07;0.935298;-0.365469;0.011347;90.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.191518;17.91525;0.76;-1.15;-0.0;0.928314;-0.357033;0.012593;88.4;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.196124;17.92164;0.73;-1.24;0.14;0.930334;-0.361353;0.010484;88.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.20073;17.891338;0.64;-1.17;0.09;0.93055;-0.36575;0.012081;89.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.205336;17.871294;0.7;-1.18;0.12;0.929029;-0.363835;0.011741;89.4;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.209942;17.884983;0.72;-1.23;-0.0;0.931346;-0.365209;0.012402;90.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.214548;17.924349;0.67;-1.2;0.01;0.930578;-0.362395;0.011229;87.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.219154;17.927934;0.7;-1.29;0.15;0.930616;-0.358647;0.011225;88.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.22376;17.887794;0.78;-1.11;0.09;0.928672;-0.356952;0.011113;89.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.228366;17.866252;0.63;-1.15;0.08;0.929459;-0.363694;0.009887;89.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.232972;17.901049;0.65;-1.14;-0.01;0.930953;-0.360644;0.01218;91.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.237578;17.875217;0.69;-1.15;0.06;0.931133;-0.36353;0.011391;90.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.242184;17.908338;0.65;-1.19;0.17;0.930662;-0.360533;0.012637;89.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.24679;17.917098;0.81;-1.23;0.01;0.927087;-0.365884;0.011675;88.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.251396;17.932499;0.72;-1.26;0.04;0.930241;-0.363251;0.011712;88.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.256002;17.888521;0.66;-1.21;0.14;0.929074;-0.364196;0.011631;88.9;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.263;17.902344;0.7;-1.19;0.07;0.929396;-0.364292;0.011834;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.267606;17.913241;0.76;-1.13;0.05;0.926981;-0.369653;0.012653;88.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.272212;17.904247;0.7;-1.18;0.06;0.929601;-0.367266;0.01104;86.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.276818;17.910538;0.69;-1.16;0.12;0.92719;-0.361616;0.012265;89.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.281424;17.902012;0.63;-1.16;0.04;0.930521;-0.366409;0.012601;87.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.28603;17.911206;0.71;-1.21;0.11;0.929061;-0.364958;0.012492;88.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.290636;17.924797;0.68;-1.24;0.07;0.929147;-0.362035;0.010525;90.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.295242;17.874595;0.64;-1.28;0.14;0.930685;-0.365672;0.009714;89.7;0.0;0.0;1.0;0.0;0.0
