Timestamp;PosX;PosY;PosZ;Roll;Pitch;Yaw;Q1;Q2;Q3;Q4;M1;M2;M3;M4;AccelX;AccelY;AccelZ;GyroX;GyroY;GyroZ
1753879655.569275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.3;-10.68;0.59;0.35;0.96
1753879655.574275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.3;-10.69;0.66;0.37;0.93
1753879655.579275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.29;-10.68;0.74;0.45;0.9
1753879655.584275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.29;-10.68;0.7;0.34;1.02
1753879655.589275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.29;-10.68;0.45;0.38;0.89
1753879655.594275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.08;0.29;-10.68;0.64;0.37;0.88
1753879655.599275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.08;0.29;-10.68;0.64;0.37;0.93
1753879655.604275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.08;0.3;-10.68;0.61;0.36;0.95
1753879655.609275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.29;-10.67;0.58;0.32;0.82
1753879655.614275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.08;0.28;-10.67;0.65;0.42;0.99
1753879655.619275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.28;-10.66;0.64;0.35;1.06
1753879655.624275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.28;-10.66;0.67;0.38;0.87
1753879655.629275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.29;-10.66;0.67;0.29;0.9
1753879655.634275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.29;-10.67;0.82;0.35;0.9
1753879655.639275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.28;-10.67;0.7;0.39;0.89
1753879655.644275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.28;-10.66;0.57;0.28;0.8
1753879655.649275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.29;-10.66;0.59;0.37;0.93
1753879655.654275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.08;0.29;-10.67;0.67;0.31;0.84
1753879655.659275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.28;-10.66;0.65;0.28;0.87
1753879655.664275;0.133;0.0;0.0;-1.24;-0.23;-0.06;0.0;0.0;0.0;0.0;-11.0;18.0;-7.0;16.0;-0.07;0.29;-10.66;0.64;0.32;0.85
