sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 1898787539, -102.44791412353516, 68.92201232910156, 11.550535202026367, 0, 0, 0, 0, 0, 0, 0.26318359375, 0.4326171875, 1.5234375, 0, 
1, 1898795872, -102.48109436035156, 68.91377258300781, 11.532832145690918, -7.01273250579834, -1.132462978363037, -0.4038444757461548, 0.7647770047187805, 1.5232913494110107, -0.5506548285484314, 0.2548828125, 0.4296875, 1.5029296875, 0, 
2, 1898804205, -102.54151153564453, 68.90641784667969, 11.48689079284668, -9.52636432647705, -4.361264228820801, -0.9405507445335388, 0.6528940200805664, 2.6758036613464355, -0.18180982768535614, 0.25, 0.43310546875, 1.5166015625, 0, 
3, 1898812538, -102.52814483642578, 68.91415405273438, 11.492799758911133, -11.716547966003418, -6.0307464599609375, -1.1666427850723267, 3.704906702041626, 0.11117858439683914, 1.0989658832550049, 0.25244140625, 0.43408203125, 1.51611328125, 0, 
4, 1898820871, -102.5151596069336, 68.92212677001953, 11.488836288452148, -10.138291358947754, -4.746750831604004, -1.1979416608810425, 4.679810523986816, 0.48214957118034363, 1.2108234167099, 0.25048828125, 0.43994140625, 1.5380859375, 0, 
5, 1898829204, -102.44709777832031, 68.92388916015625, 11.549073219299316, -7.951540946960449, -1.6574997901916504, -0.021337004378437996, 4.185891151428223, -2.022730588912964, -0.10645277053117752, 0.2587890625, 0.4365234375, 1.5283203125, 0, 
6, 1898837537, -102.4554443359375, 68.91644287109375, 11.545008659362793, -6.600559234619141, -0.6534909009933472, -0.3846942186355591, 2.226043701171875, 0.9186672568321228, -0.5846448540687561, 0.25244140625, 0.42822265625, 1.49755859375, 0, 
7, 1898845870, -102.5121078491211, 68.9079360961914, 11.512070655822754, -8.308758735656738, -3.349013328552246, -1.1302608251571655, -0.3503515124320984, 2.172612428665161, -0.4423834979534149, 0.24853515625, 0.431640625, 1.51025390625, 0, 
8, 1898854203, -102.54358673095703, 68.90798950195312, 11.482675552368164, -11.109457969665527, -5.613227844238281, -1.378551959991455, 2.308213710784912, 1.796800136566162, 0.5320972204208374, 0.2529296875, 0.4345703125, 1.51708984375, 0, 
9, 1898862536, -102.51673126220703, 68.91879272460938, 11.494275093078613, -10.912403106689453, -5.331083297729492, -0.88016277551651, 4.687546253204346, -0.2071935534477234, 1.4080272912979126, 0.251953125, 0.439453125, 1.52783203125, 0, 
