DeviceID;Timestamp;Temperature;GyroX;GyroY;GyroZ;AccelX;AccelY;AccelZ;Dist1;Dist2;Dist3;Err1;Err2;Err3
4.0;1753881461.539406;17.707031;0.63;-1.19;0.0;-0.380152;-0.92537;-0.008906;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.542122;17.707031;0.56;-1.19;0.14;-0.382104;-0.922808;-0.009394;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.547758;17.699219;0.77;-1.19;0.14;-0.379176;-0.923784;-0.00854;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.551218;17.699219;0.63;-1.12;0.07;-0.381494;-0.9211;-0.011346;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.555792;17.699219;0.56;-1.12;0.0;-0.38003;-0.923662;-0.008174;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.560321;17.699219;0.56;-1.19;0.14;-0.379298;-0.922686;-0.008418;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.564925;17.708888;0.52;-1.18;0.56;-0.45374;-0.867645;-0.013158;2.1;0.0;0.3;0.1;0.0;0.0
4.0;1753881461.573407;17.726562;0.49;-1.12;0.07;-0.377468;-0.924272;-0.010614;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.57393;17.726562;0.63;-1.12;0.14;-0.381372;-0.920978;-0.008296;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.578626;17.726562;0.56;-1.19;0.0;-0.380884;-0.923052;-0.00915;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.583086;17.699219;0.63;-1.19;0.07;-0.3782;-0.92171;-0.009272;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.589211;17.699219;0.63;-1.12;0.14;-0.381128;-0.924028;-0.01037;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.593049;17.699219;0.56;-1.19;0.14;-0.381738;-0.923052;-0.010614;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.597273;17.699219;0.56;-1.12;0.07;-0.380762;-0.92354;-0.010248;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.601447;17.675781;0.63;-1.12;0.07;-0.382348;-0.92354;-0.009272;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.606282;17.675781;0.63;-1.19;0.14;-0.379908;-0.924028;-0.00793;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.610391;17.675781;0.49;-1.19;0.14;-0.381006;-0.923296;-0.008906;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881461.614995;17.677864;0.48;-2.01;-0.46;-0.322223;-0.869973;-0.007816;0.8;-0.3;0.1;0.3;-0.0;0.0
